"location","size","year","price"
"3",51.2589983896479,1959,278147.75966944
"1",38.2605172674286,2004,312714.208052259
"1",61.1009116592534,1972,291758.247186718
"0",82.436374168158,1974,331369.335503302
"1",63.1680379338479,2000,477956.147551846
"2",75.5124746746994,1993,581205.225388091
"0",42.0022841099529,1958,106401.648773321
"0",60.2617722393475,1954,124268.117114115
"0",32.2056491913859,2002,225792.704393567
"0",41.4721274914805,1988,229738.935330848
"1",76.2141741349288,1970,343756.622016
"0",32.3869057330298,1980,155642.217795721
"1",42.6046848677969,2003,341680.859621772
"1",59.737380238386,1976,309607.531625191
"0",105.237885086937,2004,736167.261035344
"1",41.3694618117129,2004,336491.912029325
"1",105.924805973591,2013,925720.289956311
"1",39.7154911004485,2000,307940.570620083
"0",59.6731055521796,1996,373989.844255291
"0",54.499411011667,1983,271515.831423193
"1",57.5210774553184,1972,275838.708565059
"1",49.7436013475701,1965,206362.059688162
"0",65.6178474105821,2020,567855.785227612
"0",126.908513054703,1973,492113.442822754
"0",43.4383504160682,1967,148838.076215733
"2",46.000367610379,2002,407209.090307036
"2",115.263888882838,2013,1102014.75291551
"0",57.5743895041447,1951,101867.014383697
"0",33.3360786631701,2011,263405.362602163
"1",49.2808732932347,1965,204627.425851363
"1",25.8274150346126,1974,139963.689208126
"0",89.936950642734,1987,477608.598203991
"2",114.990160081085,1985,777361.373396171
"1",62.148530795583,2001,476798.595993147
"1",42.0720178002349,2019,405053.636051449
"0",22.2873226950272,1966,78919.507943174
"0",38.9816964116149,2014,318027.027397081
"1",88.7558784056847,1991,583558.679713164
"2",75.5722577073403,1976,453083.249885055
"1",33.6446071309687,1982,203274.377881569
"0",54.307386820652,1961,151005.9783794
"1",114.416102502656,2017,1044114.45436792
"0",60.0448626247576,1992,352208.149013229
"1",34.8667626260502,1990,237863.953422949
"1",47.0477336067542,1966,200969.787225127
"0",77.8058668469661,1958,188742.397854986
"1",62.3862666849486,1973,303720.718752847
"0",54.5848333003167,1955,118942.484881491
"1",77.710949652007,1963,295686.105512623
"1",44.6668607627952,1992,308064.199274168
